,Student_ID,Item_ID,Execution_date,Session_Status,Sequence_Index,Candidate_Response_Number,Reponse_ID,Task_Correct_Response,Task_Candidate_Response,Global_Score_Response,Min_score_Response,Max_score_Response,Score_Item,Max_score_Item,Min_score_Item,Feedback_basic,Feedback_modal,N_Attempts
0,student_0__2021_10_28__13_28_800.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_3,2021-10-28T13:30:19,pendingSubmission,1,99,RESPONSE_1427178107064,['NULL'],['NULL'],0,0,1,['0'],['1'],['0'],empty,NULL,0
1,student_0__2021_10_28__13_28_800.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_6,2021-10-28T13:28:40,initial,2,NULL,RESPONSE_1427175435706,[],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
2,student_0__2021_10_28__13_28_800.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_2,2021-10-28T13:28:40,initial,3,NULL,RESPONSE_1427175435706,[],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
3,student_0__2021_10_28__13_28_800.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_4,2021-10-28T13:28:40,initial,4,NULL,RESPONSE_1427175435706,[],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
4,student_0__2021_10_28__13_28_800.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_5,2021-10-28T13:28:40,initial,5,NULL,RESPONSE_1427176115631,[],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
5,student_0__2021_10_28__13_28_800.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2021-10-28T13:28:40,initial,6,NULL,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']",['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
6,student_0__2021_10_28__13_28_800.xml,id9ea3a865-5625-4f36-8682-653b3af80af3_1,2021-10-28T13:28:40,initial,7,NULL,RESPONSE_1,"['idf1c89571-97ba-4574-bd86-811ff2d90ac5 id3fc9d1fe-dac0-46fc-9df5-b5ed163d752d', 'idf9186c94-2c74-4a5c-a219-c3f3bc59c48c id92be0790-d70c-4934-80ef-74bec273a16e', 'id9a4762f1-3c35-428b-9333-f1154b94545d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'ide1b22e8c-839c-47f8-8fdf-3d304e402f7d id4282ccc5-2fc5-4278-bb8e-b08c92af32b6', 'idf57e6d9f-3d8b-471b-a5b4-6acf03b4e43f idb3100d4a-c4ba-4bba-9fd7-15b55b020cb0', 'id2fc2d4be-65bf-40b9-95c1-74d494ade0ad id92be0790-d70c-4934-80ef-74bec273a16e']",['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
7,student_0__2021_10_28__13_28_800.xml,ida7ece58f-e901-405f-af02-1f9113f103ea_2,2021-10-28T13:28:40,initial,8,NULL,NULL,['NULL'],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
8,student_0__2021_10_28__13_28_800.xml,id0eeba415-3e80-4568-b795-46979d215147_1,2021-10-28T13:28:40,initial,9,NULL,NULL,['NULL'],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
9,student_0__2021_10_28__13_28_800.xml,ideaa3ccba-44aa-4f79-ac9b-1137e50192d9_1,2021-10-28T13:28:40,initial,10,NULL,NULL,['NULL'],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
10,student_0__2021_10_28__13_28_800.xml,idd5cf78d4-28a4-4213-90b4-00e5bb438536_1,2021-10-28T13:28:40,initial,11,NULL,NULL,['NULL'],['NULL'],NULL,NULL,NULL,NULL,[],[],NULL,NULL,NULL
11,student_100__2021_10_21__19_17_943.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_3,2021-10-21T19:21:13,final,1,179,RESPONSE_1427178107064,['8*x/(29*x+1)'],['8*x/(29*x+1)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
12,student_100__2021_10_21__19_17_943.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_6,2021-10-21T19:22:49,final,2,71,RESPONSE_1427175435706,['sqrt(sqrt((2*x+y)/19)+5*z^3)'],['sqrt(sqrt((2*x+y)/19)+5*z^3)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
13,student_100__2021_10_21__19_17_943.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_2,2021-10-21T19:24:32,final,3,70,RESPONSE_1427175435706,['abs(abs((5*x+y)/11)-5)'],['abs(abs((5*x+y)/11)-5)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
14,student_100__2021_10_21__19_17_943.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_4,2021-10-21T19:26:39,final,4,124,RESPONSE_1427175435706,['log(abs((7*x+y)/14)+1)'],['log(abs((7*x+y)/14)+1)'],1,0,1,['1'],['1'],['0'],correct,NULL,0
15,student_100__2021_10_21__19_17_943.xml,idc8201b1b-9ab7-4afc-931e-9bea6a3f5273_5,2021-10-21T19:28:02,final,5,79,RESPONSE_1427176115631,['%e^((-2*%i)/29)+37'],['%e^((-2*%i)/29)+37'],0,0,1,['0'],['1'],['0'],incorrect,NULL,0
16,student_100__2021_10_21__19_17_943.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2021-10-21T19:34:09,final,6,308,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id2405d1ab-326f-48ca-8977-11785862939f', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029']",5,0,6,"['1', '1', '1', '1', '0', '1']",[],[],incorrect,Feedback2098167963,0
17,student_100__2021_10_21__19_17_943.xml,id35ad030d-2fab-41e5-acda-cd39b5670cb5_1,2021-10-21T19:38:14,final,6,206,RESPONSE_1,"['id0824fd51-b183-4a36-91d4-ea663258505f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760']","['id9b5cdc1e-6719-4bb7-8a9f-221197ccf3ea', 'id9ab8ee73-3dd6-4f54-8c80-fc719b7574d5', 'idb8cb14e6-f0c7-4d31-9e87-d3362d479760', 'idb0fa4b84-f5ea-4716-8d71-dd327f58a029', 'id2405d1ab-326f-48ca-8977-11785862939f', 'idd208bcc5-a59b-4672-b1b2-13d29babefb7', 'id0824fd51-b183-4a36-91d4-ea663258505f']",5,0,6,"['1', '1', '1', '1', '1', '1']",[],[],incorrect,Feedback2098167963,1
